NEWID	clustersID
15001	1 2 3 4 5 6 7 8 9 10 11 12 13 
15002	1 2 3 4 5 6 7 8 9 10 11 12 
15003	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15004	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15005	1 2 3 4 5 6 7 8 9 10 11 12 
15006	1 2 3 4 5 6 7 8 9 10 11 
15007	1 2 3 4 5 6 7 8 9 10 
15008	1 2 3 4 5 6 7 8 9 10 11 12 
15009	1 2 3 4 5 6 7 8 9 10 11 
15010	1 2 3 4 5 6 7 8 9 10 11 
15012	1 2 3 4 5 6 7 8 9 10 11 12 13 
15013	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15014	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15015	1 2 3 4 5 6 7 8 9 10 11 12 
15017	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15018	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15019	1 2 3 4 5 6 7 8 9 10 11 12 
15020	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15021	1 2 3 4 5 6 7 8 9 10 11 12 13 
15022	1 2 3 4 5 6 7 8 9 10 11 
15023	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15024	1 2 3 4 5 6 7 8 9 10 11 
15025	1 2 3 4 5 6 7 8 9 10 11 12 13 
15026	1 2 3 4 5 6 7 8 9 10 11 12 13 
15027	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15028	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15029	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15030	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15031	1 2 3 4 5 6 7 8 9 10 11 12 
15032	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15033	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15034	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15035	1 2 3 4 5 6 7 8 9 10 11 
15036	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15037	1 2 3 4 5 6 7 8 9 10 11 
15038	1 2 3 4 5 6 7 8 9 10 11 12 13 
15040	1 2 3 4 5 6 7 8 9 10 11 12 13 
15041	1 2 3 4 5 6 7 8 9 10 11 12 
15042	1 2 3 4 5 6 7 8 9 10 11 12 13 
15043	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15045	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15047	1 2 3 4 5 6 7 8 9 10 11 12 
15048	1 2 3 4 5 6 7 8 9 10 11 12 
15049	1 2 3 4 5 6 7 8 9 10 11 
15050	1 2 3 4 5 6 7 8 9 10 11 
15051	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15052	1 2 3 4 5 6 7 8 9 10 11 12 
15053	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15054	1 2 3 4 5 6 7 8 9 10 11 12 
15055	1 2 3 4 5 6 7 8 9 10 11 
15056	1 2 3 4 5 6 7 8 9 10 11 12 13 
15057	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15058	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15059	1 2 3 4 5 6 7 8 9 10 11 12 
15060	1 2 3 4 5 6 7 8 9 10 11 
15061	1 2 3 4 5 6 7 8 9 10 11 
15062	1 2 3 4 5 6 7 8 9 10 11 12 
15063	1 2 3 4 5 6 7 8 9 10 11 12 13 
15064	1 2 3 4 5 6 7 8 9 10 11 12 
15065	1 2 3 4 5 6 7 8 9 10 11 12 
15066	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15067	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
15068	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15071	1 2 3 4 5 6 7 8 9 10 11 12 13 
15072	1 2 3 4 5 6 7 8 9 10 11 12 
15073	1 2 3 4 5 6 7 8 9 10 11 12 
15075	1 2 3 4 5 6 7 8 9 10 11 
15076	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15077	1 2 3 4 5 6 7 8 9 10 11 12 
15078	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15079	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15080	1 2 3 4 5 6 7 8 9 10 11 12 13 
15081	1 2 3 4 5 6 7 8 9 10 11 
15082	1 2 3 4 5 6 7 8 9 10 11 12 13 
15083	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15084	1 2 3 4 5 6 7 8 9 10 11 12 13 
15085	1 2 3 4 5 6 7 8 9 10 11 12 13 
15086	1 2 3 4 5 6 7 8 9 10 11 12 13 
15087	1 2 3 4 5 6 7 8 9 10 11 12 13 
15088	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15089	1 2 3 4 5 6 7 8 9 10 11 
15090	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15091	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15093	1 2 3 4 5 6 7 8 9 10 
15094	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15095	1 2 3 4 5 6 7 8 9 10 11 12 
15096	1 2 3 4 5 6 7 8 9 10 11 
15097	1 2 3 4 5 6 7 8 9 10 11 12 13 
